time = 1492642379, t = 20.500000, p = 102344, a= -84.823303
time = 1492642379, t = 20.500000, p = 102352, a= -84.740639
time = 1492642379, t = 20.500000, p = 102342, a= -84.245163
time = 1492642379, t = 20.500000, p = 102336, a= -84.905960
time = 1492642379, t = 20.500000, p = 102345, a= -84.905960
time = 1492642379, t = 20.500000, p = 102354, a= -85.071281
time = 1492642379, t = 20.500000, p = 102347, a= -84.905960
time = 1492642379, t = 20.500000, p = 102345, a= -84.245163
time = 1492642380, t = 20.500000, p = 102359, a= -85.153938
time = 1492642380, t = 20.500000, p = 102352, a= -85.071281
time = 1492642380, t = 20.500000, p = 102341, a= -84.905960
time = 1492642380, t = 20.500000, p = 102335, a= -84.905960
time = 1492642380, t = 20.500000, p = 102351, a= -85.153938
time = 1492642380, t = 20.500000, p = 102344, a= -84.905960
time = 1492642380, t = 20.500000, p = 102332, a= -83.749664
time = 1492642380, t = 20.500000, p = 102346, a= -84.905960
time = 1492642380, t = 20.500000, p = 102341, a= -85.071281
time = 1492642380, t = 20.500000, p = 102349, a= -84.905960
time = 1492642381, t = 20.500000, p = 102338, a= -84.245163
time = 1492642381, t = 20.500000, p = 102335, a= -84.740639
time = 1492642381, t = 20.500000, p = 102336, a= -85.153938
time = 1492642381, t = 20.500000, p = 102341, a= -84.327827
time = 1492642381, t = 20.500000, p = 102345, a= -85.401405
time = 1492642381, t = 20.500000, p = 102341, a= -84.823303
time = 1492642381, t = 20.500000, p = 102342, a= -84.905960
time = 1492642381, t = 20.500000, p = 102342, a= -84.327827
time = 1492642381, t = 20.500000, p = 102345, a= -84.658485
time = 1492642381, t = 20.500000, p = 102345, a= -84.823303
time = 1492642382, t = 20.500000, p = 102348, a= -83.832336
time = 1492642382, t = 20.500000, p = 102343, a= -84.575821
time = 1492642382, t = 20.500000, p = 102342, a= -83.997673
time = 1492642382, t = 20.500000, p = 102343, a= -84.163002
time = 1492642382, t = 20.500000, p = 102340, a= -84.080338
time = 1492642382, t = 20.500000, p = 102340, a= -84.823303
time = 1492642382, t = 20.500000, p = 102346, a= -84.327827
time = 1492642382, t = 20.500000, p = 102350, a= -84.410492
time = 1492642382, t = 20.500000, p = 102340, a= -84.823303
time = 1492642382, t = 20.400000, p = 102335, a= -83.997673
time = 1492642383, t = 20.400000, p = 102348, a= -84.658485
time = 1492642383, t = 20.400000, p = 102343, a= -84.410492
time = 1492642383, t = 20.400000, p = 102333, a= -84.823303
time = 1492642383, t = 20.400000, p = 102342, a= -84.080338
time = 1492642383, t = 20.400000, p = 102347, a= -84.327827
time = 1492642383, t = 20.400000, p = 102339, a= -84.658485
time = 1492642383, t = 20.400000, p = 102340, a= -84.080338
time = 1492642383, t = 20.400000, p = 102346, a= -84.410492
time = 1492642383, t = 20.400000, p = 102342, a= -84.327827
time = 1492642383, t = 20.400000, p = 102342, a= -84.988625
time = 1492642384, t = 20.400000, p = 102346, a= -84.575821
time = 1492642384, t = 20.400000, p = 102336, a= -84.080338
time = 1492642384, t = 20.400000, p = 102346, a= -84.575821
time = 1492642384, t = 20.400000, p = 102350, a= -84.740639
time = 1492642384, t = 20.400000, p = 102342, a= -84.740639
time = 1492642384, t = 20.400000, p = 102340, a= -84.327827
time = 1492642384, t = 20.400000, p = 102342, a= -84.080338
time = 1492642384, t = 20.400000, p = 102340, a= -84.658485
time = 1492642384, t = 20.400000, p = 102340, a= -84.575821
time = 1492642384, t = 20.400000, p = 102347, a= -84.410492
time = 1492642385, t = 20.400000, p = 102350, a= -84.575821
time = 1492642385, t = 20.400000, p = 102347, a= -84.327827
time = 1492642385, t = 20.400000, p = 102345, a= -84.327827
time = 1492642385, t = 20.400000, p = 102342, a= -84.575821
time = 1492642385, t = 20.400000, p = 102347, a= -84.658485
time = 1492642385, t = 20.400000, p = 102347, a= -84.327827
time = 1492642385, t = 20.400000, p = 102340, a= -84.163002
time = 1492642385, t = 20.400000, p = 102342, a= -84.905960
time = 1492642385, t = 20.400000, p = 102342, a= -84.327827
time = 1492642385, t = 20.400000, p = 102343, a= -84.327827
time = 1492642386, t = 20.400000, p = 102346, a= -84.658485
time = 1492642386, t = 20.400000, p = 102349, a= -84.575821
time = 1492642386, t = 20.400000, p = 102346, a= -84.740639
time = 1492642386, t = 20.400000, p = 102345, a= -84.410492
time = 1492642386, t = 20.400000, p = 102340, a= -84.163002
time = 1492642386, t = 20.400000, p = 102340, a= -84.080338
time = 1492642386, t = 20.400000, p = 102346, a= -84.658485
time = 1492642386, t = 20.400000, p = 102343, a= -84.410492
time = 1492642386, t = 20.400000, p = 102345, a= -84.658485
time = 1492642386, t = 20.400000, p = 102343, a= -84.410492
time = 1492642387, t = 20.400000, p = 102345, a= -84.410492
time = 1492642387, t = 20.400000, p = 102342, a= -84.575821
time = 1492642387, t = 20.400000, p = 102337, a= -84.410492
time = 1492642387, t = 20.400000, p = 102342, a= -84.327827
time = 1492642387, t = 20.400000, p = 102349, a= -83.915001
time = 1492642387, t = 20.400000, p = 102337, a= -84.327827
time = 1492642387, t = 20.400000, p = 102349, a= -84.658485
time = 1492642387, t = 20.400000, p = 102339, a= -84.575821
time = 1492642387, t = 20.400000, p = 102343, a= -84.658485
time = 1492642387, t = 20.400000, p = 102349, a= -84.658485
time = 1492642388, t = 20.400000, p = 102343, a= -84.327827
time = 1492642388, t = 20.400000, p = 102353, a= -84.905960
time = 1492642388, t = 20.400000, p = 102350, a= -83.915001
time = 1492642388, t = 20.400000, p = 102333, a= -84.163002
time = 1492642388, t = 20.400000, p = 102344, a= -84.988625
time = 1492642388, t = 20.400000, p = 102333, a= -84.740639
