Accel X=90, Accel Y=159, Accel Z=976
Accel X=4, Accel Y=139, Accel Z=903
Accel X=-23, Accel Y=106, Accel Z=931
Accel X=-42, Accel Y=120, Accel Z=946
Accel X=-88, Accel Y=30, Accel Z=1004
Accel X=-55, Accel Y=-102, Accel Z=978
Accel X=4, Accel Y=-180, Accel Z=994
Accel X=92, Accel Y=-367, Accel Z=1056
Accel X=93, Accel Y=-359, Accel Z=1002
Accel X=59, Accel Y=-121, Accel Z=910
Accel X=73, Accel Y=-58, Accel Z=948
Accel X=53, Accel Y=10, Accel Z=992
Accel X=35, Accel Y=11, Accel Z=1051
Accel X=49, Accel Y=-63, Accel Z=994
Accel X=82, Accel Y=-132, Accel Z=999
Accel X=71, Accel Y=-136, Accel Z=1015
Accel X=75, Accel Y=-100, Accel Z=1057
Accel X=71, Accel Y=-81, Accel Z=1067
Accel X=66, Accel Y=-99, Accel Z=1070
Accel X=51, Accel Y=-115, Accel Z=1043
Accel X=52, Accel Y=-97, Accel Z=1055
Accel X=48, Accel Y=-81, Accel Z=1065
Accel X=58, Accel Y=-34, Accel Z=1102
Accel X=40, Accel Y=-111, Accel Z=1063
Accel X=45, Accel Y=-105, Accel Z=1055
Accel X=54, Accel Y=-93, Accel Z=1059
Accel X=53, Accel Y=-99, Accel Z=1058
Accel X=39, Accel Y=-120, Accel Z=1050
Accel X=52, Accel Y=-125, Accel Z=1093
Accel X=37, Accel Y=-125, Accel Z=1080
Accel X=33, Accel Y=-99, Accel Z=1074
Accel X=41, Accel Y=-84, Accel Z=1069
Accel X=40, Accel Y=-93, Accel Z=1070
Accel X=35, Accel Y=-92, Accel Z=1070
Accel X=29, Accel Y=-104, Accel Z=1063
Accel X=25, Accel Y=-127, Accel Z=1057
Accel X=23, Accel Y=-136, Accel Z=1055
Accel X=20, Accel Y=-137, Accel Z=1054
Accel X=21, Accel Y=-142, Accel Z=1021
Accel X=9, Accel Y=-58, Accel Z=520
Accel X=-6, Accel Y=-19, Accel Z=286
Accel X=-13, Accel Y=-11, Accel Z=213
Accel X=-21, Accel Y=-9, Accel Z=218
Accel X=274, Accel Y=420, Accel Z=-138
Accel X=30, Accel Y=123, Accel Z=400
Accel X=22, Accel Y=41, Accel Z=617
Accel X=271, Accel Y=6, Accel Z=780
Accel X=181, Accel Y=37, Accel Z=1146
Accel X=108, Accel Y=105, Accel Z=1072
Accel X=16, Accel Y=56, Accel Z=1071
Accel X=-11, Accel Y=33, Accel Z=1074
Accel X=-16, Accel Y=-69, Accel Z=1073
Accel X=-21, Accel Y=-65, Accel Z=1073
Accel X=-19, Accel Y=-72, Accel Z=1070
Accel X=-21, Accel Y=-66, Accel Z=1071
Accel X=-24, Accel Y=-68, Accel Z=1075
Accel X=-23, Accel Y=-62, Accel Z=1072
Accel X=-27, Accel Y=-68, Accel Z=1071
Accel X=-31, Accel Y=-68, Accel Z=1071
Accel X=-26, Accel Y=-69, Accel Z=1072
Accel X=-24, Accel Y=-73, Accel Z=1085
Accel X=-21, Accel Y=-66, Accel Z=1066
Accel X=-21, Accel Y=-67, Accel Z=1060
Accel X=-23, Accel Y=-70, Accel Z=1065
Accel X=-24, Accel Y=-66, Accel Z=1067
Accel X=-21, Accel Y=-65, Accel Z=1068
Accel X=-24, Accel Y=-59, Accel Z=1068
Accel X=-23, Accel Y=-59, Accel Z=1073
Accel X=-24, Accel Y=-61, Accel Z=1071
Accel X=-25, Accel Y=-57, Accel Z=1062
Accel X=-25, Accel Y=-55, Accel Z=1064
Accel X=-25, Accel Y=-55, Accel Z=1067
Accel X=-26, Accel Y=-56, Accel Z=1068
Accel X=-25, Accel Y=-52, Accel Z=1064
Accel X=-28, Accel Y=-52, Accel Z=1071
Accel X=-28, Accel Y=-43, Accel Z=1071
Accel X=-25, Accel Y=-68, Accel Z=1074
Accel X=-28, Accel Y=-76, Accel Z=1069
Accel X=-36, Accel Y=-82, Accel Z=1075
Accel X=-28, Accel Y=-90, Accel Z=1070
Accel X=-26, Accel Y=-92, Accel Z=1070
Accel X=-29, Accel Y=-93, Accel Z=1069
Accel X=-28, Accel Y=-97, Accel Z=1068
Accel X=-26, Accel Y=-97, Accel Z=1063
Accel X=-28, Accel Y=-100, Accel Z=1065
Accel X=-32, Accel Y=-106, Accel Z=1064
Accel X=-27, Accel Y=-106, Accel Z=1062
Accel X=-24, Accel Y=-108, Accel Z=1068
Accel X=-36, Accel Y=-117, Accel Z=1064
Accel X=-29, Accel Y=-103, Accel Z=1074
Accel X=-23, Accel Y=-104, Accel Z=1070
Accel X=-30, Accel Y=-98, Accel Z=1077
